,name,date,platform,publisher,developer,shipped,total,america,europe,japan,other,vgc,critic,user,percent
27961,Carcassonne,2007-06-27,XBL,Sierra Online,Sierra Online,,,,,,,,7.5,,75
27981,Cardboard Castle,,iOS,Unknown,White Birds Productions,,,,,,,7.5,7.5,,75
28008,Carnival Cruise Line Tycoon 2005: Island Hopping,2004-06-21,PC,Activision,Artex Software,,,,,,,,4.3,,43
28016,Carol Vorderman's Sudoku,2008-11-27,PSN,Empire Interactive,Empire Interactive,,,,,,,,7.4,,74
28020,Carrier,2000-01-31,DC,Jaleco,Jaleco Entertainment,,,,,,,,7.1,,71
28029,CART Flag To Flag,1999-09-08,DC,Sega,Zoom Inc.,,,,,,,,6.3,,63
28035,Cartoon Network Speedway,2003-11-09,GBA,Majesco,DC Studios,,,,,,,,3.0,,30
28068,Castle Crashers,2008-08-27,XBL,The Behemoth,The Behemoth,,,,,,,8.2,7.0,,70
28104,Castlevania,2007-04-30,VC,Konami,Konami,,,,,,,,7.5,,75
28108,Castlevania II: Simon's Quest,2007-10-29,VC,Konami,Konami,,,,,,,,7.0,,70
28109,Castlevania III: Dracula's Curse,2009-01-12,VC,Capcom,Konami,,,,,,,,9.0,,90
28113,Castlevania:  Symphony of the Night,2007-07-18,PSN,Konami,Digital Eclipse,,,,,,,,9.3,,93
28114,Castlevania: Harmony of Despair,2010-08-04,XBL,Konami,Konami,,,,,,,,6.8,,68
28115,Castlevania: Harmony of Despair,2011-09-27,PSN,Konami,Konami,,,,,,,,7.5,,75
28121,Castlevania: Rondo of Blood,2010-03-15,VC,Konami,Konami,,,,,,,,9.0,,90
28122,Castlevania: Symphony of the Night,2007-03-21,XBL,Konami,Digital Eclipse,,,,,,,,8.9,,89
28124,Castlevania: The Adventure ReBirth,2009-12-28,WW,Konami,M2,,,,,,,8.1,8.2,,82
28125,Castlevania: The Dracula X Chronicles,2009-12-10,PSN,Konami,Konami,,,,,,,,8.1,,81
28134,Catan,2007-05-02,XBL,Microsoft,Big Huge Games,,,,,,,,7.5,,75
28147,Catrap,,3DS,Unknown,Nintendo,,,,,,,,8.5,,85
28162,Cave Story,2010-03-22,WW,Unknown,Nicalis,,,,,,,8.5,8.8,,88
28180,Cel Damage Overdrive,2002-12-12,PS2,Electronic Arts,Pseudo Interactive,,,,,,,,5.3,,53
28186,Centipede,1999-10-31,DC,Hasbro Interactive,Leaping Lizard Software Inc.,,,,,,,,5.0,,50
28241,Championship Manager Season 01/02,2002-04-26,XB,Eidos Interactive,Sports Interactive,,,,,,,,9.1,,91
28257,Championship Surfer,2000-12-11,DC,Mattel Interactive,Krome Studios,,,,,,,,6.1,,61
28260,Chantelise,2011-07-29,PC,Unknown,EasyGameStation,,,,,,,6.8,5.2,,52
28274,Chaos Field,2004-12-16,DC,Sega,MileStone Inc.,,,,,,,,6.0,,60
28297,Charge 'N Blast,2001-02-07,DC,Xicat Interactive,Xicat Interactive,,,,,,,,6.4,,64
28310,Charlotte's Web,2006-11-14,GBA,Sega,Backbone Entertainment,,,,,,,,6.0,,60
28373,Chessmaster Live,2008-01-30,XBL,Microsoft,Ubisoft Sofia,,,,,,,,7.6,,76
28375,Chester,2011-08-31,XBL,Microsoft,Brilliant Blue-G,,,,,,,,6.0,,60
28410,Chicken Run,2000-11-13,DC,Eidos Interactive,Blitz Games,,,,,,,,6.1,,61
28430,Chime,2010-02-03,XBL,Valcon Games,Zoe Mode,,,,,,,,8.0,,80
28431,Chime Super Deluxe,2011-03-29,PSN,Unknown,Zoe Mode,,,,,,,,7.6,,76
28524,Christmas NiGHTS into dreams...,1996-01-01,SAT,Sega,Sonic Team,,,,,,,,8.0,,80
28538,Chronicles of Pern: Dragon Riders,2001-08-09,DC,Ubisoft,Ubisoft,,,,,,,,4.9,,49
28544,Chrono Trigger,2011-05-16,VC,Square Enix,SquareSoft,,,,,,,,9.5,,95
28554,ChuChu Rocket!,2000-02-29,DC,Sega,Sonic Team,,,,,,,,8.5,,85
28652,ClaDun x2,,PSN,Unknown,System Prisma,,,,,,,,6.0,,60
28653,ClaDun: This is an RPG,2010-09-21,PSN,NIS America,System Prisma,,,,,,,,8.0,,80
28734,Cloning Clyde,2006-07-19,XBL,NinjaBee,NinjaBee,,,,,,,,7.6,,76
28756,Cloudy with a Chance of Meatballs,2009-09-30,PSN,Ubisoft,Ubisoft Shanghai,,,,,,,,6.0,,60
28788,Coaster Works,2000-12-10,DC,Xicat Interactive,Unknown,,,,,,,,6.9,,69
28832,Coded Arms,2009-12-10,PSN,Konami,Konami,,,,,,,,6.1,,61
28844,Coffee Tycoon,2005-04-01,PC,Anarchy Enterprises,Anarchy Enterprises,,,,,,,,4.0,,40
28860,Colin McRae Rally 2005,2004-11-15,NGage,Nokia,Ideaworks3D,,,,,,,,8.3,,83
28869,College Hoops 2K7,2006-11-20,XB,2K Sports,Visual Concepts,,,,,,,,7.2,,72
28870,College Hoops 2K7,2006-12-11,PS2,2K Sports,Visual Concepts,,,,,,,,7.1,,71
28893,ColorZ,2009-09-07,WW,Exkee,Exkee,,,,,,,,7.0,,70
28904,Columns,2006-12-04,VC,Sega,Sega,,,,,,,,6.5,,65
28908,Columns Crown,2002-02-04,GBA,THQ,Sega,,,,,,,,7.3,,73
28942,Comet Crash,2009-04-02,PSN,Pelfast,Pelfast,,,,,,,,8.5,,85
28943,Comic Jumper,2010-10-06,XBL,Twisted Pixel Games,Twisted Pixel Games,,,,,,,7.5,7.7,,77
28973,Command & Conquer,1996-12-31,SAT,Westwood Studios,Westwood Studios,,,,,,,,9.1,,91
28977,Command & Conquer Red Alert 2: Yuri's Revenge,2001-10-10,PC,Electronic Arts,Westwood Studios,,,,,,,,9.2,,92
29002,Commanders: Attack of the Genos,2008-02-13,XBL,Sierra Entertainment,Sierra Online / Southend Interactive,,,,,,,,7.0,,70
29026,Confidential Mission,2001-05-14,DC,Sega,Hitmaker,,,,,,,,6.8,7.0,68
29028,Conflict Zone,2001-12-15,DC,Ubisoft,MASA Group,,,,,,,,5.3,,53
29065,Contra,2006-11-08,XBL,Konami,Digital Eclipse,,,,,,,,5.9,,59
29070,Contra ReBirth,2009-09-07,WW,Konami,M2,,,,,,,7.8,8.1,,81
29098,Cool Cool Toon,2000-08-10,DC,SNK,SNK Corporation,,,,,,,,7.4,,74
29162,Costume Quest,2010-10-19,PSN,THQ,Double Fine Productions,,,,,,,7.6,7.6,,76
29163,Costume Quest,2010-10-20,XBL,THQ,Double Fine Productions,,,,,,,,7.6,,76
29172,Costume Quest: Grubbins on Ice,2010-12-21,XBL,THQ,Double Fine Productions,,,,,,,,6.9,,69
29173,Costume Quest: Grubbins on Ice,2010-12-21,PSN,THQ,Double Fine Productions,,,,,,,,6.9,,69
29228,Crash Commando,2008-12-18,PSN,Sony Computer Entertainment,EPOS Game Studios,,,,,,,,7.8,,78
29230,Crash Nitro Kart,2004-07-28,NGage,Nokia,Vicarious Visions,,,,,,,,6.0,,60
29250,Crayon Physics Deluxe,2009-01-07,PC,Kloonigames,Petri Purho,,,,,,,,7.5,,75
29293,Crazy Machines Elements,2011-08-24,XBL,DTP Entertainment,FAKT Software GmBH,,,,,,,,5.0,,50
29304,Crazy Taxi,2002-09-30,PC,Activision,Strangelite,,,,,,,,5.0,,50
29305,Crazy Taxi,2010-11-24,XBL,Sega,Sega,,,,,,,,6.0,,60
29306,Crazy Taxi,2010-11-16,PSN,Sega,Sega,,,,,,,4.0,6.0,,60
29308,Crazy Taxi: Fare Wars,2009-09-30,PSN,Sega,Sniper Studios,,,,,,,,6.3,,63
29358,Crimson Alliance,2011-09-07,XBL,Microsoft,Certain Affinity,,,,,,,7.8,7.6,,76
29364,Crimson Gem Saga,2009-10-21,PSN,Atlus,IronNos Corp.,,,,,,,,7.3,,73
29367,Crimson Shroud,2012-12-13,3DS,Level 5,Nex Entertainment,,,,,,,7.6,7.9,,79
29377,Critical Mass,2011-06-20,PC,Unknown,Manic Game Studios,,,,,,,,8.7,,87
29383,Critter Crunch,2009-10-08,PSN,Capybara Games,Capybara Games,,,,,,,8.5,8.8,,88
29444,Crusaders of Might and Magic,1999-11-30,PC,3DO,3DO,,,,,,,,4.8,,48
29447,Crush,2009-09-30,PSN,Sega,Zoe Mode,,,,,,,,8.5,,85
29461,Crysis,2011-10-04,XBL,Electronic Arts,Crytek,,,,,,,,8.2,,82
29462,Crysis,2011-10-04,PSN,Electronic Arts,Crytek,,,,,,,,8.2,,82
29469,Crysis 3,2013-02-19,PC,Electronic Arts,Crytek,,,,,,,,7.5,,75
29477,Crystal Defenders,2009-03-11,XBL,Square Enix,TOSE Software,,,,,,,,5.7,,57
29478,Crystal Defenders,2009-08-06,PSN,Square Enix,TOSE Software,,,,,,,,7.5,,75
29480,Crystal Defenders R1,2009-04-20,WW,Square Enix,Square Enix,,,,,,,5.2,6.4,,64
29481,Crystal Defenders R2,2009-05-18,WW,Square Enix,Square Enix,,,,,,,,5.8,,58
29490,Crystal Quest,2006-02-07,XBL,Microsoft,Stainless Games,,,,,,,,6.2,,62
29508,Cthulhu Saves the World,2010-12-30,XBL,Microsoft,Zeboyd Games,,,,,,,,8.0,,80
29509,Cthulhu Saves the World,2011-07-13,PC,Zeboyd Games,Zeboyd Games,,,,,,,8.6,8.0,,80
29527,Cubixx,2010-06-08,PSN,Laughing Jackal,Laughing Jackal,,,,,,,,6.6,,66
29598,Cyber Troopers Virtual-On: Oratorio Tangram,2000-06-01,DC,Activision,Sega-AM3,,,,,,,,8.2,,82
29599,Cyber Troopers Virtual-On: Oratorio Tangram Ver. 5.66,2009-04-29,XBL,Sega,Sega-AM2,,,,,,,,7.0,,70
29609,Cyberbots: Fullmetal Madness,1997-03-28,SAT,Capcom,Capcom,,,,,,,,5.9,,59
29643,D-2,2000-08-22,DC,Sega,Warp,,,,,,,,6.4,,64
29741,Dance Dance Revolution 2nd Mix: Dreamcast Edtion,2000-02-17,DC,Konami,Konami,,,,,,,,8.1,,81
29811,Dante's Inferno,2011-05-17,PSN,Electronic Arts,Artificial Mind & Movement,,,,,,,,4.5,,45
29834,Dark Age of Camelot,2001-09-01,PC,Mythic Entertainment,Mythic Entertainment,,,,,,,,8.7,,87
29886,Dark Void Zero,2010-01-18,DSiW,Capcom,Other Ocean Interactive,,,,,,,5.3,8.5,,85
29898,Darkest of Days,2009-09-08,PC,Phantom EFX,8MonkeyLabs,,,,,,,,4.8,,48
29908,Darkstalkers Chronicle: The Chaos Tower,2009-10-28,PSN,Capcom,Capcom,,,,,,,,7.5,,75
29927,Darwinia+,2010-02-10,XBL,Introversion,Introversion Software,,,,,,,,8.0,,80
29937,Dave Mirra Freestyle BMX,2000-11-20,DC,Acclaim Entertainment,"Z-Axis, Ltd.",,,,,,,,7.1,,71
29973,Daytona USA,2001-03-12,DC,Sega,Amusement Vision,,,,,,,,7.7,,77
29975,Daytona USA,2011-10-26,XBL,Sega,Sega,,,,,,,,9.0,,90
29976,Daytona USA,2011-10-25,PSN,Sega,Sega,,,,,,,,8.5,,85
29982,DC Universe Online,2011-03-22,PSN,Sony Online Entertainment,WBIE,,,,,,,,6.7,,67
29998,Dead Block,2011-07-19,PSN,Namco Bandai,Candygun Games,,,,,,,,4.5,,45
29999,Dead Block,2011-07-06,XBL,Namco Bandai,Candygun Games,,,,,,,5.5,4.0,,40
30004,Dead Head Fred,2008-10-17,PSN,D3 Publisher,Vicious Cycle,,,,,,,,7.4,,74
30019,Dead Nation,2010-11-30,PSN,Sony Computer Entertainment,Housemarque,,,,,,,8.2,7.0,,70
30030,Dead Rising 2: Case West,2010-12-27,XBL,Capcom,Blue Castle Games,,,,,,,,7.6,,76
30031,Dead Rising 2: Case Zero,2010-08-31,XBL,Capcom,Blue Castle Games,,,,,,,,7.9,,79
30033,Dead Space,2009-10-27,XBL,Electronic Arts,EA Redwood Shores,,,,,,,,9.0,,90
30034,Dead Space,2011-10-18,PSN,Electronic Arts,EA Redwood Shores,,,,,,,,8.9,,89
30035,Dead Space 2,2011-11-08,PSN,Electronic Arts,Visceral Games,,,,,,,,9.0,,90
30052,Deadliest Warrior: Legends,2011-07-06,XBL,Unknown,"Pipeworks Software, Inc.",,,,,,,,6.5,,65
30053,Deadliest Warrior: Legends,2011-07-26,PSN,Unknown,"Pipeworks Software, Inc.",,,,,,,,5.5,,55
30075,Death By Cube,2010-01-20,XBL,Square Enix,Premium Agency,,,,,,,,4.5,,45
30079,Death Crimson OX,2001-08-05,DC,Sammy Corporation,Ecole Software,,,,,,,,5.1,,51
30083,Death Jr. II: Root of Evil,2009-12-10,PSN,Konami,Backbone Entertainment,,,,,,,,6.9,,69
30088,Death Tank,2009-02-18,XBL,Microsoft,Snowblind Studios,,,,,,,,6.8,,68
30099,DeathSpank,2010-10-26,PC,Hothead Games,Hothead Games,,,,,,,,8.2,,82
30100,DeathSpank,2010-07-14,XBL,Electronic Arts,Hothead Games,,,,,,,,7.7,,77
30101,DeathSpank,2010-07-13,PSN,Electronic Arts,Hothead Games,,,,,,,8.0,7.8,,78
30102,DeathSpank: Thongs of Virtue,2010-09-28,PSN,Electronic Arts,Hothead Games,,,,,,,,8.3,,83
30103,DeathSpank: Thongs of Virtue,2010-09-22,XBL,Electronic Arts,Hothead Games,,,,,,,,8.5,,85
30104,DeathSpank: Thongs of Virtue,2010-11-30,PC,Electronic Arts,Hothead Games,,,,,,,,8.5,,85
30106,Deca Sports Freedom,2011-08-30,XBL,Hudson Entertainment,Hudson Entertainment,,,,,,,,3.0,,30
30132,Deep Fighter,2000-08-22,DC,Ubisoft,Criterion Games,,,,,,,,7.3,,73
30139,Deep Sea Tycoon: Diver's Paradise,2006-06-14,PC,eGames,Pixel after Pixel,,,,,,,,6.5,,65
30152,Def Jam Fight for NY: The Takeover,2009-09-30,PSN,Electronic Arts,Aki Corp.,,,,,,,,8.0,,80
30157,Defend Your Castle,2008-05-12,WW,XGenStudios,XGen Studios,,,,,,,6.5,6.6,,66
30176,Defense Grid: The Awakening,2009-09-02,XBL,Hidden Path Entertainment,Hidden Path Entertainment,,,,,,,,8.5,,85
30177,Defense of the Middle Kingdom,2011-09-15,DSiW,Aksys Games,Aksys Games,,,,,,,,8.0,,80
30226,Demolition Racer: No Exit,2000-10-23,DC,Infogrames,Pitbull Syndicate,,,,,,,,7.7,,77
30365,Deus Ex: Human Revolution - The Missing Link,2011-10-18,PC,Square Enix,Eidos Montreal,,,,,,,,7.5,,75
30367,Deus Ex: Human Revolution - The Missing Link,2011-10-18,XBL,Square Enix,Eidos Montreal,,,,,,,8.0,7.0,,70
30368,Deus Ex: Human Revolution - The Missing Link,2011-10-18,PSN,Square Enix,Eidos Montreal,,,,,,,,8.0,,80
30385,Devil's Crush,2007-07-23,VC,Hudson Soft,Compile,,,,,,,,7.5,,75
30450,Dig Dug,2006-10-11,XBL,Namco Bandai,Namco,,,,,,,,6.7,,67
30473,Digimon Battle Spirit,2003-01-13,GBA,Bandai,Bandai,,,,,,,,6.3,,63
30482,Digimon World 3,2002-06-05,PS,Bandai,Bandai,,,,,,,,4.0,,40
30504,Diner Dash,2009-11-18,XBL,Big Fish Games,GameLab,,,,,,,,6.4,,64
30506,Diner Dash,2010-03-29,WW,Hudson Soft,Hudson Entertainment,,,,,,,,6.4,,64
30523,Dino Crisis,2000-11-14,DC,Capcom,Capcom Production Studio 4,,,,,,,,7.2,,72
30528,Dino D-Day,2011-04-08,PC,Unknown,800 North and Digital Ranch,,,,,,,,5.5,,55
30559,Dirt Trax FX,1995-06-01,SNES,Acclaim Entertainment,Sculptured Software,,,,,,,,7.0,,70
30585,Disgaea 2: Dark Hero Days,2009-09-30,PSN,NIS America,Nippon Ichi Software,,,,,,,,8.1,,81
30587,Disgaea Infinite,2010-06-08,PSN,NIS America,Nippon Ichi Software,,,,,,,,6.8,,68
30588,Disgaea: Afternoon of Darkness,2009-09-30,PSN,NIS America,Nippon Ichi Software,,,,,,,,8.7,,87
30597,Disney Fireworks,2010-03-29,DSiW,Disney Interactive Studios,Disney Interactive Studios,,,,,,,,5.0,,50
30614,Disney's 102 Dalmatians: Puppies to the Rescue,2000-11-15,DC,Eidos Interactive,Crystal Dynamics,,,,,,,,6.9,,69
30623,"Disney's American Dragon: Jake Long, Rise of the Huntsclan",2006-10-12,GBA,Buena Vista,WayForward,,,,,,,,6.0,,60
30639,Disney's Chicken Little: Ace in Action,2006-11-09,PS2,Buena Vista,Avalanche Software,,,,,,,,7.0,,70
30641,Disney's Dinosaur,2000-11-24,DC,Ubisoft,Disney Interactive,,,,,,,,5.3,,53
30642,Disney's Donald Duck: Goin' Quackers,2000-12-13,DC,Ubisoft,Disney Interactive Studios,,,,,,,,7.2,,72
30655,Disney's Meet the Robinsons,2007-03-27,GBA,Disney Interactive Studios,Climax Entertainment,,,,,,,,4.7,,47
30693,Dissidia 012: Duodecim Final Fantasy,2011-03-22,PSN,Square Enix,Square Enix,,,,,,,8.6,8.3,,83
30695,Dissidia: Final Fantasy,2009-11-04,PSN,Square Enix,Square Enix,,,,,,,,8.1,,81
30721,DJ Max Fever,2010-01-28,PSN,PM Studios,Pentavision Entertainment,,,,,,,,7.7,,77
30847,Donkey Kong Country,2007-02-19,VC,Nintendo,Rare Ltd.,,,,,,,,8.1,,81
30848,Donkey Kong Country 2: Diddy's Kong Quest,2007-05-21,VC,Nintendo,Rare Ltd.,,,,,,,,8.8,,88
30849,Donkey Kong Country 3: Dixie Kong's Double Trouble!,2007-12-24,VC,Nintendo,Rare Ltd.,,,,,,,,8.5,,85
30878,Doom,2006-09-27,XBL,Activision,Nerve Software,,,,,,,,8.0,,80
30883,Doom 3: Resurrection of Evil,2005-04-04,PC,Activision,Nerve Software,,,,,,,,8.0,,80
30946,Doritos Crash Course,2010-12-08,XBL,Microsoft Game Studios,Wanako Studios,,,,,,,,8.0,,80
30952,DotMan,2011-09-08,DSiW,Agetec,SilverStarJapan,,,,,,,,7.5,,75
30972,Double Dragon,2011-06-23,3DS,Aksys Games,Technos Japan Corporation,,,,,,,,5.5,,55
30987,Double Dragon: Neon,,PS3,Unknown,Unknown,,,,,,,,7.1,,71
30988,Double Dragon: Neon,,X360,Unknown,Unknown,,,,,,,8.1,5.0,,50
30994,Double Dungeons,2007-03-12,VC,Hudson Soft,NCS/Masaya,,,,,,,,3.5,,35
31041,Downforce,2002-05-24,GBA,Titus,Karma Studios,,,,,,,,7.9,,79
31086,Dr. Seuss' The Cat in the Hat,2003-11-05,GBA,VU Games,Digital Eclipse,,,,,,,,3.9,,39
31092,Draconus: Cult of the Wyrm,2000-02-28,DC,Crave Entertainment,Treyarch,,,,,,,,7.2,,72
31109,Dragon Age II: Legacy,2011-07-26,XBL,Electronic Arts,BioWare,,,,,,,,5.3,,53
31111,Dragon Age II: Legacy,2011-07-26,PC,Electronic Arts,BioWare,,,,,,,,5.6,,56
31123,Dragon Age Origins: Darkspawn Chronicles,2010-05-18,PC,Electronic Arts,BioWare Corp.,,,,,,,,5.3,,53
31124,Dragon Age Origins: Darkspawn Chronicles,2010-05-18,PSN,Electronic Arts,BioWare Corp.,,,,,,,,5.0,,50
31125,Dragon Age Origins: Darkspawn Chronicles,2010-05-18,XBL,Electronic Arts,BioWare Corp.,,,,,,,,5.3,,53
31129,Dragon Age Origins: Leliana's Song,2010-07-06,PSN,Electronic Arts,BioWare Corp.,,,,,,,,7.0,,70
31130,Dragon Age Origins: Leliana's Song,2010-07-06,XBL,Electronic Arts,BioWare Corp.,,,,,,,,7.0,,70
31131,Dragon Age Origins: Leliana's Song,2010-07-06,PC,Electronic Arts,BioWare Corp.,,,,,,,,7.0,,70
31133,Dragon Age Origins: Return to Ostagar,2010-01-13,PC,Electronic Arts,BioWare Corp.,,,,,,,,6.3,,63
31134,Dragon Age Origins: Return to Ostagar,2010-01-13,XBL,Electronic Arts,BioWare Corp.,,,,,,,,5.8,,58
31135,Dragon Age Origins: The Stone Prisoner,2009-11-03,PC,Electronic Arts,BioWare Corp.,,,,,,,,8.0,,80
31136,Dragon Age Origins: The Stone Prisoner,2009-11-04,PSN,Electronic Arts,BioWare Corp.,,,,,,,,8.0,,80
31137,Dragon Age Origins: The Stone Prisoner,2009-11-03,XBL,Electronic Arts,BioWare Corp.,,,,,,,,8.0,,80
31205,Dragon Nest,2011-08-16,PC,Nexon America,Eyedentity Games,,,,,,,,8.5,,85
31212,Dragon Quest Wars,2009-09-28,DSiW,Square Enix,Intelligent Systems,,,,,,,,8.5,,85
31246,Dragon's Curse,2007-04-02,VC,Hudson Soft,Hudson Soft,,,,,,,,7.5,,75
31274,Dragoneer's Aria,2009-09-30,PSN,NIS America,Hit Maker,,,,,,,,5.2,,52
31327,Dreamkiller,2009-10-12,PC,Aspyr,Mindware Studios,,,,,,,4.0,4.6,,46
31352,Driver,2008-08-14,PSN,Ubisoft,Reflections Interactive,,,,,,,,8.8,,88
31354,Driver '76,2009-06-24,PSN,Ubisoft,Sumo Digital,,,,,,,,5.5,,55
31372,Droplitz,2009-06-25,PSN,Atlus,Blitz Arcade,,,,,,,7.6,7.8,,78
31374,Droplitz,2009-06-24,XBL,Atlus,Blitz Arcade,,,,,,,7.6,5.0,,50
31432,Ducati World Championship,,PC,Unknown,Artematica Entertainment,,,,,,,,3.0,,30
31433,Ducati World Racing Challenge,2001-02-13,DC,Acclaim Entertainment,Attention To Detail,,,,,,,,2.4,,24
31484,Dungeon Defenders,2011-10-18,PSN,Unknown,Trendy Entertainment,,,,,,,,8.3,,83
31485,Dungeon Defenders,2011-10-19,XBL,D3 Publisher,Trendy Entertainment,,,,,,,9.0,7.3,,73
31492,Dungeon Explorer,2007-01-08,VC,Hudson Soft,Atlus Co.,,,,,,,,6.0,,60
31499,Dungeon Explorer: Warriors of Ancient Arts,2010-01-07,PSN,Hudson Soft,Hudson Soft,,,,,,,,6.1,,61
31504,Dungeon Hunter: Alliance,2011-04-12,PSN,Gameloft,Gameloft,,,,,,,,6.7,,67
31508,Dungeon Keeper: The Deeper Dungeons,1997-11-30,PC,Electronic Arts,Take-Two Interactive,,,,,,,,5.9,,59
31543,Dungeons & Dragons: Daggerdale,,PSN,Unknown,Bedlam Games,,,,,,,,6.0,,60
31544,Dungeons & Dragons: Daggerdale,2011-05-25,XBL,Atari,Bedlam Games,,,,,,,,4.3,,43
31585,Dynamite Cop!,1999-11-03,DC,Sega,Sega-AM1,,,,,,,,5.8,,58
31606,Dynasty Warriors: Strikeforce,2009-09-30,PSN,Tecmo Koei,Omega Force,,,,,,,,6.4,,64
31621,EA Replay,2009-01-22,PSN,Electronic Arts,Team Fusion,,,,,,,,4.9,,49
31667,Earthworm Jim 2,1995-01-01,SNES,Playmates,Shiny Entertainment,,,,,,,,8.8,,88
31696,Ecco the Dolphin,2006-11-28,VC,Sega,Novotrade International,,,,,,,,6.3,,63
31701,Ecco the Dolphin: Defender of the Future,2000-09-10,DC,Sega,Appaloosa Interactive,,,,,,,,8.6,,86
31716,echochrome ii,2010-12-21,PSN,Sony Computer Entertainment,SCE Japan Studio,,,,,,,,8.0,,80
31718,Echoes,2009-11-18,PSN,Halfbrick Studios,Halfbrick Studios,,,,,,,,7.9,,79
31721,echoshift,2010-02-24,PSN,Sony Computer Entertainment,SCE Japan Studio,,,,,,,,7.5,,75
31722,Ecks vs. Sever,2001-11-27,GBA,BAM! Entertainment,Crawfish Interactive,,,,,,,,7.6,,76
31732,ECW Hardcore Revolution,2000-02-29,DC,Acclaim Entertainment,Acclaim Entertainment,,,,,,,,4.8,,48
31734,ECW: Anarchy Rulz,2000-12-30,DC,Acclaim Entertainment,Acclaim Entertainment,,,,,,,,4.8,,48
31816,El Dorado Gate Volume 1,2000-10-10,DC,Capcom,Capcom,,,,,,,,7.3,,73
31843,Elemental Gimmick Gear,1999-12-31,DC,Vatical Entertainment,Birthday,,,,,,,,7.4,,74
31859,Elevator Action Deluxe,2011-08-30,PSN,Square Enix,Square Enix,,,,,,,,4.0,,40
31938,Empire Earth II: The Art of Supremacy,2006-02-14,PC,VU Games,Mad Doc Software,,,,,,,,5.7,,57
31940,Empire Earth: The Art of Conquest,2002-09-17,PC,Sierra Entertainment,Mad Doc Software,,,,,,,,7.3,,73
32008,Eragon,2006-11-14,XB,Sierra Entertainment,Stormfront Studios,,,,,,,,5.3,,53
32009,Eragon,2006-11-14,PS2,Sierra Entertainment,Stormfront Studios,,,,,,,,5.4,,54
32010,Eragon,2006-11-14,GBA,Sierra Entertainment,Amaze Entertainment,,,,,,,,7.1,,71
32051,escapeVektor: Chapter 1,2011-09-29,WW,Unknown,Nnooo,,,,,,,,9.0,,90
32064,ESPN International Track & Field,2000-09-26,DC,Konami,KCEO,,,,,,,,6.9,,69
32075,ESPN NBA 2Night,2000-11-20,DC,Konami,"Sunset Entertainment, Inc.",,,,,,,,2.5,,25
32110,Eufloria,,PSN,Unknown,Rudolf Kremers & Alex May,,,,,,,,7.0,,70
32117,Europa Universalis III: Heir to the Throne,2009-12-15,PC,Paradox Interactive,Paradox Interactive,,,,,,,,8.5,,85
32166,EverQuest,1999-03-16,PC,Sony Online Entertainment,Verant Interactive,,,,,,,,8.0,,80
32187,Everyday Shooter,2007-10-11,PSN,Sony Computer Entertainment,Queasy Games,,,,,,,7.7,8.4,,84
32188,Everyday Shooter,2008-05-08,PC,Queasy Games,Queasy Games,,,,,,,,8.0,,80
32189,Everyday Shooter (PSP),2008-12-04,PSN,Sony Computer Entertainment,Queasy Games,,,,,,,,7.0,,70
32193,Evil Dead: Hail to the King,2000-12-17,DC,THQ,Heavy Iron Studios,,,,,,,,5.1,,51
32214,Evolution 2: Far Off Promise,2000-06-29,DC,Ubisoft,Sting,,,,,,,,5.6,,56
32219,Evolution: The World of Sacred Device,1999-12-16,DC,Ubisoft,Sting,,,,,,,,6.7,,67
32228,Excitebike: World Rally,2009-11-09,WW,Nintendo,Monster Games,,,,,,,,6.5,,65
32243,Exit,2007-10-24,XBL,Taito,Taito Corporation,,,,,,,,7.5,,75
32244,Exit,2009-04-23,PSN,Ubisoft,Taito Corporation,,,,,,,,7.9,,79
32262,Expendable,1999-09-09,DC,Infogrames,Rage Software,,,,,,,,5.5,,55
32265,Explodemon!,2011-02-08,PSN,Unknown,Curve Studios,,,,,,,,5.9,,59
32282,Extreme Paintbrawl,1998-10-31,PC,Head Games,Creative Carnage,,,,,,,,1.2,,12
32334,F-Zero,2006-11-19,VC,Nintendo,Nintendo EAD,,,,,,,,7.8,,78
32335,F-Zero X,2007-06-26,VC,Nintendo,Nintendo EAD,,,,,,,,6.8,,68
32349,F1 2002,2002-04-05,XB,EA Sports,Visual Sciences Ltd.,,,,,,,,7.0,,70
32354,F1 2009,2009-12-17,PSN,Codemasters,Sumo Digital,,,,,,,,7.4,,74
32380,F1 World Grand Prix,2000-04-24,DC,Sega,Paradigm Entertainment,,,,,,,,8.0,,80
32382,F1 World Grand Prix II,2000-12-02,DC,Video System,Paradigm Entertainment,,,,,,,,7.1,,71
32384,F24: Stealth Fighter,2007-02-13,GBA,Majesco,Skyworks Technologies,,,,,,,,3.6,,36
32385,F355 Challenge: Passione Rossa,2000-09-19,DC,Acclaim Entertainment,Sega,,,,,,,,8.5,,85
32387,Fable II Pub Games,2008-08-13,XBL,Microsoft Game Studios,Lionhead Studios,,,,,,,3.0,5.2,,52
32389,Fable II: See the Future,2009-05-12,XBL,Microsoft Game Studios,Lionhead Studios,,,,,,,,6.0,,60
32391,Fable III: Traitor's Keep Quest Pack,2011-03-01,XBL,Microsoft Game Studios,Lionhead Studios,,,,,,,,7.4,,74
32392,Fable III: Understone Quest Pack,2010-11-23,XBL,Microsoft Game Studios,Lionhead Studios,,,,,,,6.0,4.5,,45
32394,Fable: The Lost Chapters,2005-10-18,XB,Microsoft Game Studios,Lionhead Studios,,,,,,,,8.1,,81
